countryname,countrycode,ISO,region,income level,entity,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,AUS,36,East Asia & Pacific,Upper middle income,country,49.47727084,49.50854752,49.54159581,49.57429288,49.60419685,49.62971975,49.64994839,49.66569652,49.67926615,49.69376226,49.71140106,49.73185616,49.75462125,49.78120141,49.81328049,49.85143249,49.89701142,49.94831356,49.99921008,50.04164143,50.07037852,50.08344398,50.08366539,50.07651655,50.06953363,50.06797841,50.07221276,50.08054661,50.09334733,50.11064882,50.13196276,50.15875152,50.18983787,50.21912314,50.23868776,50.24351206,50.23103622,50.20424328,50.17033621,50.13920817,50.11749205,50.10798511,50.10787171,50.11142243,50.11051776,50.1000282,50.07829672,50.04882973,50.01776761,49.99310541,49.97988301,49.97939214,49.98898146,50.00482371,50.021613,50.03567737
Austria,AUT,40,Europe & Central Asia,Upper middle income,country,53.40918049,53.37845046,53.34473395,53.30850357,53.27033437,53.23072551,53.18982856,53.14787075,53.10552689,53.06359191,53.02267214,52.98276611,52.94384749,52.90636505,52.87081001,52.83733724,52.80606762,52.77643146,52.74700646,52.71596163,52.68190451,52.64410037,52.60260402,52.55783165,52.51055621,52.46121512,52.41077547,52.35877592,52.30263636,52.2389887,52.16605414,52.08329492,51.99332735,51.90126577,51.81346928,51.73425807,51.66417452,51.60216966,51.54885241,51.50470817,51.4699007,51.44472431,51.42816159,51.41730712,51.40825052,51.39772902,51.38601819,51.3725939,51.35268527,51.32043081,51.27245208,51.20606385,51.12428311,51.03637792,50.95501705,50.88912441
Azerbaijan,AZE,31,Europe & Central Asia,Upper middle income,country,52.14340378,52.04209293,51.94401614,51.8514202,51.76643341,51.68992517,51.62291055,51.56445503,51.51124717,51.45919528,51.4060593,51.35003457,51.29320831,51.24162559,51.2031107,51.18230439,51.18003818,51.19251597,51.21394065,51.23661723,51.25480411,51.26853618,51.27839996,51.28045446,51.27028949,51.2458221,51.20507908,51.15135162,51.09405175,51.04541658,51.0135865,50.9994178,50.99931284,51.01090819,51.03053656,51.05466537,51.08477314,51.11912221,51.14743746,51.15656728,51.13797655,51.08800427,51.01147876,50.91891142,50.82479911,50.73940275,50.66599616,50.60213783,50.54533843,50.49124279,50.43720844,50.38294179,50.33085057,50.28399064,50.24619983,50.21978748
Bahamas,BHS,44,Latin America & Caribbean,High income: nonOECD,country,52.17117397,51.9329673,51.71411346,51.50905907,51.31304367,51.12210726,50.92850701,50.73948115,50.58091522,50.48462709,50.46529205,50.53115312,50.66237826,50.81244593,50.92194903,50.9524465,50.89188979,50.76198013,50.59922287,50.45331444,50.35554923,50.31336465,50.31256384,50.33772232,50.36606149,50.3830683,50.38765201,50.38682614,50.38412447,50.38454666,50.39245059,50.40422493,50.41952708,50.44861984,50.50543126,50.59628557,50.72694086,50.88894929,51.05738931,51.19936506,51.2919155,51.32711834,51.31545752,51.27392267,51.22636332,51.18893948,51.16482679,51.14869149,51.13816637,51.12830486,51.11576088,51.10073055,51.08542703,51.0704238,51.056509,51.04440762
Bahrain,BHR,48,Middle East & North Africa,Upper middle income,country,46.44217574,46.19292061,45.88029369,45.57591211,45.36750304,45.30339262,45.3978997,45.60480727,45.83808154,45.9870489,45.97845163,45.82487953,45.56205028,45.18344034,44.6908253,44.10992703,43.43809782,42.73206348,42.11603315,41.7079652,41.55297831,41.65746742,41.95802565,42.34412166,42.67317907,42.85223818,42.8608009,42.74667367,42.56902426,42.4036531,42.2977191,42.24061814,42.21039583,42.22108973,42.28782248,42.41001898,42.59668365,42.81640054,42.98491718,43.00332031,42.81650434,42.441786,41.92551336,41.29859046,40.61094891,39.9224234,39.2527487,38.63747945,38.13736974,37.79167997,37.60206577,37.55978114,37.63359746,37.77477403,37.91912947,38.0203262
Bangladesh,BGD,50,South Asia,Low income,country,48.31513865,48.36645487,48.4204988,48.4745823,48.52519306,48.5701411,48.60847484,48.64146582,48.67188424,48.70343633,48.73848288,48.77745833,48.818991,48.86115584,48.90092866,48.93561993,48.96564806,48.99086776,49.00781534,49.01266455,49.00389331,48.9806528,48.94628314,48.90829295,48.87594283,48.85514281,48.84723307,48.84960011,48.85906963,48.87124366,48.88308646,48.89457465,48.90649582,48.91787506,48.9276963,48.93546503,48.94142537,48.94634359,48.951036,48.95654416,48.96397026,48.97188558,48.98099043,48.99656475,49.02523282,49.07060051,49.13501754,49.2146201,49.29932332,49.37561003,49.43422059,49.47211905,49.49288822,49.50207752,49.50786036,49.51604653
Barbados,BRB,52,Latin America & Caribbean,High income: nonOECD,country,55.19932102,55.10588154,54.89199601,54.59935698,54.29061126,54.01001814,53.77155857,53.56521004,53.3792301,53.1955227,53.00213107,52.79455753,52.58427525,52.39567043,52.25914885,52.19340495,52.2081764,52.28972808,52.40386346,52.50382202,52.55653319,52.55215742,52.50122126,52.41655698,52.31959874,52.22698483,52.13992475,52.05524652,51.97853971,51.91556114,51.87038644,51.84609673,51.84107344,51.85088049,51.86675,51.88328892,51.89892457,51.91463378,51.92965826,51.94407259,51.95710019,51.96870174,51.97823773,51.98577835,51.9918269,51.99680307,52.0004363,52.00286796,52.00548113,52.00958106,52.01633961,52.02600124,52.03849705,52.05325253,52.06965911,52.08697641
Belarus,BLR,112,Europe & Central Asia,Upper middle income,country,54.78861059,54.68620045,54.58777095,54.49431685,54.40702286,54.32661971,54.25364096,54.18753809,54.12661834,54.06852159,54.01146709,53.95487771,53.89900261,53.8439507,53.79011509,53.7378321,53.68669191,53.63650672,53.58807577,53.54251279,53.50047206,53.46318596,53.43008951,53.39797581,53.36252763,53.32117035,53.27192479,53.2169484,53.16265034,53.11768222,53.08775435,53.07600123,53.07976277,53.09193238,53.10216894,53.10338433,53.09208378,53.0716375,53.05005383,53.03903677,53.04683304,53.07632233,53.12399945,53.18390539,53.24675418,53.30519336,53.35743879,53.4044519,53.44472911,53.47726888,53.50159848,53.51638347,53.5219296,53.52163469,53.52026468,53.52137876
Belgium,BEL,56,Europe & Central Asia,Upper middle income,country,51.02210881,51.03489601,51.04327137,51.04830639,51.05148505,51.05397838,51.05599992,51.05761147,51.05962422,51.06293891,51.06815586,51.07569458,51.08534427,51.09621413,51.10701924,51.11679735,51.12512025,51.13215868,51.13825581,51.14398819,51.14969976,51.15572309,51.16165178,51.16619339,51.16760721,51.16479013,51.15724672,51.14577964,51.13212785,51.11875673,51.10751484,51.09867262,51.09189132,51.08754169,51.08590103,51.08694091,51.09121905,51.09823229,51.10562759,51.11023285,51.10985375,51.10312141,51.09083185,51.07552928,51.06086236,51.04915657,51.04090168,51.03446762,51.02743211,51.01646449,50.9990322,50.97593632,50.94763573,50.91114398,50.86279371,50.80089798
Belize,BLZ,84,Latin America & Caribbean,High income: nonOECD,country,50.62019377,50.58341517,50.54882995,50.51714155,50.48801785,50.46126591,50.43532338,50.41038519,50.3855731,50.36055677,50.33516398,50.3117187,50.28864001,50.25677912,50.20410339,50.12419237,50.01294905,49.87699922,49.73735717,49.6213944,49.54804337,49.52292534,49.53662755,49.57194198,49.60646618,49.62526377,49.62552338,49.61336806,49.5958665,49.58140295,49.57611756,49.58116854,49.59319888,49.60908838,49.62316167,49.63326601,49.63823395,49.64035594,49.64153737,49.64480554,49.65226111,49.66331881,49.67811077,49.69754619,49.72345473,49.75624737,49.79621738,49.84199221,49.89041857,49.93740543,49.98056646,50.0192896,50.05449842,50.08701513,50.11856494,50.15015851
Benin,BEN,204,Sub-Saharan Africa,Upper middle income,country,52.43290481,52.36889508,52.30681775,52.24691203,52.18987133,52.13637192,52.08560362,52.03790082,51.99628768,51.96451832,51.94460083,51.93676456,51.93873589,51.94696332,51.95690313,51.96528672,51.97099029,51.97409172,51.97421713,51.97124009,51.96499538,51.95387166,51.9372074,51.91669353,51.89453906,51.87143872,51.85055896,51.8296417,51.79860737,51.74536417,51.6644269,51.55290134,51.41994777,51.28519531,51.17127031,51.0903062,51.04568774,51.02776932,51.01974446,51.00039448,50.95684988,50.88736292,50.79990624,50.70366221,50.61026436,50.52717052,50.4549359,50.39109922,50.33563733,50.28798887,50.24749211,50.21433339,50.18802379,50.16646593,50.14714371,50.12836139
Bermuda,BMU,60,North America,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,64,South Asia,Low income,country,49.15754904,49.16767337,49.17065398,49.17292107,49.18197171,49.20060642,49.23400316,49.27504666,49.30075803,49.28386662,49.20931733,49.076588,48.90186497,48.70787296,48.52158003,48.36085764,48.22667205,48.1151331,48.0299486,47.97366489,47.94660668,47.94980738,47.97955731,48.02524343,48.07370625,48.11581843,48.14840824,48.17367732,48.19540177,48.21910354,48.24884922,48.2798993,48.30964712,48.34585147,48.39884861,48.47071215,48.57282821,48.69009842,48.76871113,48.74532037,48.58725919,48.28456018,47.87465681,47.42762874,47.02846737,46.72962069,46.54171415,46.44086102,46.39980431,46.38048684,46.35693916,46.32459583,46.29311655,46.26833829,46.26003911,46.27415046
Bolivia,BOL,68,Latin America & Caribbean,High income: nonOECD,country,50.46261613,50.43761778,50.41205327,50.38612234,50.36006069,50.3341039,50.30832008,50.28276242,50.25753538,50.23271337,50.20837707,50.18458478,50.16136345,50.13879308,50.11687674,50.09565287,50.07520753,50.05557278,50.03663332,50.01823876,50.00033992,49.98294698,49.96618788,49.95018425,49.93511625,49.92110664,49.90811615,49.89615972,49.8855795,49.87676717,49.86992882,49.86513448,49.86212963,49.86045854,49.85954723,49.85896127,49.85861253,49.85855421,49.85871995,49.85906869,49.85962008,49.86031695,49.86119237,49.86234481,49.86392335,49.86603882,49.86867341,49.87179979,49.87557183,49.88013382,49.88555939,49.89189579,49.89901123,49.90662919,49.91438556,49.92202583
Bosnia and Herzegovina,BIH,70,Europe & Central Asia,Upper middle income,country,50.95177507,50.89884459,50.84749009,50.79892182,50.75472531,50.71565649,50.68173961,50.65208618,50.62542979,50.60026996,50.57558968,50.55097036,50.52678451,50.50384417,50.48328581,50.46573076,50.45054013,50.4369408,50.42514017,50.41548427,50.4077471,50.40422224,50.4037819,50.39910102,50.3806937,50.3433438,50.28314583,50.20578862,50.12607982,50.06226893,50.02575659,50.02169946,50.04632462,50.09046967,50.13706536,50.1707792,50.1847848,50.18257088,50.16981391,50.15647176,50.14967526,50.15060213,50.15645896,50.16554838,50.1750712,50.18303705,50.18918829,50.19437988,50.19885414,50.2030887,50.20744367,50.21196093,50.21644705,50.22096056,50.22540611,50.22981743
Botswana,BWA,72,Sub-Saharan Africa,Upper middle income,country,52.14825897,52.22689796,52.28022328,52.30899,52.31623991,52.30477674,52.27457378,52.22596772,52.1626481,52.08824603,52.00607197,51.91845333,51.82655315,51.73103739,51.63259152,51.53236686,51.43126508,51.33144776,51.23691521,51.15165068,51.07760373,51.01488472,50.96152947,50.91486519,50.87156989,50.82937287,50.78785726,50.74735072,50.7073703,50.66774244,50.62827309,50.5888326,50.54945281,50.51007894,50.4708164,50.43155103,50.39238082,50.35349601,50.31520561,50.27792607,50.24205636,50.20740061,50.17417858,50.14344595,50.11673703,50.09498375,50.07867926,50.06731657,50.05965853,50.05400526,50.0491984,50.04483884,50.04116612,50.03836417,50.03687042,50.03684002
Brazil,BRA,76,Latin America & Caribbean,High income: nonOECD,country,50.20794737,50.19377731,50.18130106,50.17103206,50.16351688,50.15904244,50.15752647,50.15867717,50.16224385,50.16790698,50.17534299,50.18449588,50.19511298,50.20647878,50.21775637,50.22839257,50.23826781,50.24756306,50.25644296,50.26517025,50.27397976,50.28284902,50.29186538,50.30148036,50.31223948,50.3245035,50.33825061,50.35333222,50.36977904,50.38759537,50.40668776,50.42713866,50.44868319,50.47047497,50.49143548,50.5108253,50.52842821,50.54449796,50.55937349,50.57357748,50.58752171,50.60120425,50.61461977,50.62816055,50.64230113,50.65735834,50.67348996,50.69057645,50.70830475,50.72620771,50.74393117,50.76138859,50.77863966,50.79565331,50.81243356,50.82898556
Brunei Darussalam,BRN,96,East Asia & Pacific,Upper middle income,country,48.4020776,48.4040753,48.40462931,48.40363054,48.39941593,48.39112412,48.37040484,48.33865815,48.31183997,48.30837538,48.33460522,48.40475699,48.50108576,48.56585195,48.53330743,48.37219137,48.07123258,47.6735356,47.25960179,46.92803529,46.73490213,46.69321469,46.76705956,46.90399321,47.03563508,47.11834619,47.14756471,47.14424951,47.12378991,47.10816936,47.11273882,47.12764549,47.15117155,47.21093105,47.34172283,47.55872682,47.87319515,48.258896,48.65072127,48.96699319,49.15656746,49.20670239,49.14454123,49.00888839,48.85409053,48.71797706,48.60681787,48.5118531,48.43717994,48.38457166,48.35393667,48.34907609,48.36922212,48.40546393,48.44511421,48.47987183
Bulgaria,BGR,100,Europe & Central Asia,Upper middle income,country,50.05123008,50.04219251,50.03116424,50.01940306,50.00850615,49.999671,49.99331247,49.98939828,49.98803961,49.98920771,49.99288385,49.99937989,50.0088287,50.02080533,50.0347141,50.05022153,50.06716522,50.08592649,50.10741796,50.13279781,50.1628778,50.19767198,50.23684176,50.28040587,50.32834821,50.38059182,50.43716236,50.49767317,50.5612166,50.62660306,50.69296827,50.75994167,50.8273794,50.89468735,50.96095118,51.02501569,51.08642504,51.14427294,51.19633023,51.24000477,51.27361881,51.29619937,51.30853193,51.31305524,51.3133981,51.31256106,51.31116853,51.30926336,51.30873879,51.31165888,51.31944892,51.33341155,51.3531901,51.37638005,51.39937078,51.41944788
Burkina Faso,BFA,854,Sub-Saharan Africa,Upper middle income,country,49.10257013,49.23619564,49.3707368,49.50340287,49.63009611,49.74794531,49.85629798,49.95641042,50.04985241,50.13892477,50.22539393,50.30926661,50.39024605,50.46921104,50.54711522,50.6243188,50.70094422,50.77610547,50.84785678,50.91372326,50.97189733,51.02195255,51.06412791,51.09826347,51.12438264,51.14271488,51.15359445,51.15747077,51.1548883,51.14648609,51.13294888,51.11430936,51.09120936,51.06549896,51.03931245,51.01392723,50.99031516,50.96774442,50.94386564,50.9156417,50.88143085,50.84095936,50.79594115,50.74913869,50.70401616,50.66283691,50.62612606,50.59308741,50.56288285,50.53427911,50.50642058,50.47923396,50.45296454,50.42752652,50.40286089,50.37894416
Burundi,BDI,108,Sub-Saharan Africa,Upper middle income,country,51.72796888,51.69088589,51.65468421,51.61880956,51.58257571,51.5461018,51.50857087,51.47145783,51.43943219,51.41792582,51.40983242,51.41571442,51.43292077,51.45701087,51.48186199,51.5026009,51.51699898,51.52514035,51.52731104,51.52449895,51.51703217,51.50793469,51.49598933,51.47334972,51.43052927,51.36375118,51.2693285,51.15584934,51.04473302,50.96101825,50.91824702,50.92147156,50.95952914,51.01015781,51.04453981,51.04420078,51.004316,50.9341089,50.847062,50.76282813,50.69571438,50.64803245,50.61550984,50.59726004,50.5907568,50.59336068,50.60561665,50.6259265,50.6476063,50.66292864,50.66741062,50.65994386,50.64328645,50.62166783,50.60055321,50.58349549
Cabo Verde,CPV,132,Sub-Saharan Africa,Upper middle income,country,53.06500722,53.05450626,52.97487504,52.8516041,52.71962976,52.60406089,52.50641253,52.42408526,52.36641577,52.34233724,52.35624378,52.40777431,52.49426564,52.61354777,52.76156017,52.93038613,53.12087711,53.32457283,53.51210849,53.64742235,53.70747096,53.6828405,53.5857953,53.4423875,53.28709396,53.14259689,53.01556268,52.89901596,52.78673969,52.66882529,52.54090771,52.40148171,52.25777116,52.1224245,52.01009602,51.92801858,51.88056309,51.85929893,51.84455707,51.81085536,51.74307159,51.6361653,51.49935441,51.34921921,51.20739469,51.08851513,50.99536868,50.92233595,50.86581071,50.81974961,50.77970305,50.74612397,50.71994729,50.69865828,50.67872335,50.65782648
Cambodia,KHM,116,East Asia & Pacific,Upper middle income,country,50.08921129,50.10165615,50.11566868,50.13016214,50.14382855,50.15618825,50.17209762,50.19389258,50.21667235,50.23372126,50.2433929,50.23212415,50.20882092,50.21706581,50.31252054,50.53098601,50.90733304,51.43398343,52.04166918,52.59241142,52.95502201,53.06223669,52.95150375,52.70705583,52.44255828,52.2282197,52.07295048,51.95409289,51.86264875,51.78321899,51.70635428,51.63454444,51.57400615,51.52415907,51.48403424,51.45259802,51.42797756,51.40937704,51.39775265,51.39456516,51.39998221,51.4150549,51.43716472,51.45877323,51.47040184,51.46613476,51.44356232,51.40618558,51.36127191,51.31872918,51.28533362,51.2628195,51.24869415,51.24020431,51.23318974,51.22478327
Cameroon,CMR,120,Sub-Saharan Africa,Upper middle income,country,50.8426116,50.82525209,50.80736277,50.78885181,50.76961549,50.74966544,50.72888718,50.70755164,50.68647541,50.66659556,50.64848197,50.63229914,50.61764354,50.6037904,50.58982398,50.57512755,50.55965827,50.54361101,50.52703589,50.51001503,50.49266574,50.47498431,50.4570684,50.43923298,50.42184919,50.40514982,50.38915258,50.37376099,50.35894095,50.34462393,50.3307151,50.31717227,50.30389383,50.29068805,50.27734547,50.26369433,50.24979411,50.23563285,50.22094657,50.20542084,50.18893799,50.17152349,50.15347359,50.1352811,50.11754301,50.10069786,50.08480619,50.06986021,50.05613064,50.04389146,50.03327236,50.02435951,50.01697639,50.01066581,50.00485663,49.99916682
Canada,CAN,124,North America,High income: nonOECD,country,49.42063401,49.47334166,49.53668777,49.60407065,49.66686213,49.7192277,49.76005197,49.79162013,49.81587616,49.83585933,49.85404773,49.86991482,49.88364645,49.89902949,49.92069498,49.95146411,49.99267063,50.04244472,50.09646197,50.14879052,50.19522929,50.23484039,50.26879783,50.29764976,50.32251478,50.34429319,50.36242222,50.37681249,50.38935644,50.40248542,50.4177108,50.43592331,50.45617273,50.47592788,50.49174671,50.50136047,50.50413721,50.50121703,50.49429845,50.48580523,50.47749972,50.46994412,50.4627696,50.45569628,50.44816214,50.43987176,50.43063728,50.4209276,50.41179734,50.40459384,50.400102,50.39879675,50.40001404,50.40201118,50.40246806,50.39982135
Cayman Islands,CYM,136,Latin America & Caribbean,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,140,Sub-Saharan Africa,Upper middle income,country,50.8237773,50.83018959,50.83583014,50.84063528,50.84468749,50.84799525,50.85050931,50.85234249,50.85400453,50.85606674,50.85885679,50.86260569,50.86704807,50.87145908,50.87481174,50.87655815,50.8765726,50.87532495,50.87324513,50.87109194,50.86933483,50.86791676,50.86679772,50.86652833,50.86767989,50.87054849,50.87522368,50.8812455,50.8877397,50.89346762,50.89763472,50.89994852,50.90065491,50.89985392,50.8978092,50.89470718,50.89063647,50.88552879,50.87924948,50.8716479,50.86262979,50.85220692,50.84059108,50.82820711,50.81561806,50.80328276,50.79144932,50.7801568,50.76935477,50.75884583,50.74858722,50.73853932,50.72895335,50.72034217,50.7134002,50.7085114
Chad,TCD,148,Sub-Saharan Africa,Upper middle income,country,51.13122112,51.13981309,51.14341505,51.14179181,51.13452253,51.12148553,51.10279547,51.07922148,51.05213755,51.02328492,50.99394745,50.96491317,50.93605087,50.90662463,50.87542566,50.84167755,50.80504281,50.76617537,50.72649156,50.6878742,50.65162499,50.61839563,50.58770295,50.55851331,50.5294356,50.49968091,50.46915062,50.43860776,50.40911083,50.3819112,50.35763547,50.33615321,50.31685746,50.29931544,50.28298694,50.26742329,50.25265057,50.23841952,50.22384212,50.20789627,50.19005022,50.17038531,50.14944287,50.12775944,50.10593689,50.08440661,50.0631067,50.04213552,50.02218185,50.00407018,49.98829896,49.97500511,49.96385111,49.95425911,49.94549591,49.93706132
Chile,CHL,152,Latin America & Caribbean,High income: nonOECD,country,50.60507879,50.61461835,50.62367724,50.63237818,50.64082946,50.64911193,50.65721329,50.66507252,50.67264633,50.6798706,50.68666499,50.69308579,50.69908329,50.70440016,50.70871258,50.7118215,50.71370756,50.71451383,50.71442251,50.71368191,50.71250292,50.71086863,50.70882136,50.70667771,50.70481194,50.70346009,50.70281269,50.70271505,50.70263,50.70184138,50.69992836,50.69674722,50.69261739,50.68807046,50.68383977,50.68041493,50.67791654,50.6761856,50.67509054,50.67441746,50.6740072,50.67376731,50.67372148,50.67396016,50.67461005,50.6756936,50.67720419,50.67892565,50.68047824,50.68136538,50.68122053,50.6799862,50.67768311,50.67416719,50.66930058,50.66302967
China,CHN,156,East Asia & Pacific,Upper middle income,country,48.51638406,48.54351094,48.56673347,48.58748152,48.60768239,48.62843084,48.65003809,48.6715235,48.69122089,48.7071319,48.71816695,48.72431192,48.72651407,48.72591038,48.72394635,48.72167563,48.71912459,48.71621333,48.71364771,48.71222825,48.7123851,48.71454256,48.71825746,48.72205816,48.72399832,48.72282056,48.71826495,48.71103313,48.70203533,48.69248231,48.68322913,48.67421134,48.66528062,48.65700512,48.65005455,48.64478734,48.64157373,48.64002123,48.63881347,48.63617468,48.63090432,48.62255904,48.6116635,48.59917915,48.58650457,48.57464239,48.56394759,48.55414374,48.54484825,48.53544272,48.52554642,48.51508767,48.50442503,48.49411793,48.48491116,48.4773329
