countryname,countrycode,ISO,region,income level,entity,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,AUS,36,East Asia & Pacific,High income: OECD,country,49.50854874,49.54159546,49.57429123,49.60419846,49.62971878,49.64994812,49.66569519,49.67926788,49.69376373,49.71140289,49.7318573,49.7546196,49.78120041,49.81328201,49.8514328,49.8970108,49.94831467,49.99921036,50.04164124,50.07037735,50.08343887,50.0836525,50.07649231,50.06951523,50.06797791,50.0731163,50.08337402,50.09770966,50.11431122,50.13196182,50.15016937,50.16942596,50.1905632,50.21466446,50.24206161,50.27305984,50.30618286,50.33786392,50.3636322,50.38047028,50.38803101,50.38746262,50.37938309,50.36492157,50.34545135,50.32082367,50.2922821,50.2640419,50.24108887,50.2265625,50.22160721,50.2249043,50.23392685
Austria,AUT,40,Europe & Central Asia,High income: OECD,country,53.39475632,53.35640717,53.3142662,53.26615906,53.21096039,53.14836884,53.08034515,53.010849,52.94508362,52.88698578,52.83664703,52.79349899,52.7596817,52.7375412,52.72797012,52.73250198,52.74880219,52.76893997,52.78202057,52.77998352,52.75967789,52.72290421,52.67266846,52.61407471,52.55096817,52.48496246,52.41527176,52.34085846,52.26009369,52.17288589,52.07832718,51.97960281,51.88520813,51.80528259,51.74583054,51.70999527,51.69402313,51.68824768,51.67906189,51.65687943,51.6181488,51.56665802,51.50896835,51.45458603,51.40988541,51.37665939,51.352005,51.33190918,51.31046677,51.28363419,51.25035477,51.21248382,51.17244026
Azerbaijan,AZE,31,Europe & Central Asia,Upper middle income,country,52.04209137,51.9440155,51.85142136,51.76643372,51.68992615,51.62290955,51.56445313,51.51124573,51.45919418,51.40605927,51.35003281,51.29320908,51.24162674,51.20310974,51.18230438,51.18003845,51.19251633,51.21393967,51.23661804,51.2548027,51.26853561,51.27840042,51.28045273,51.27029037,51.24582291,51.20507813,51.15135193,51.09405136,51.04541779,51.01358795,50.99941635,50.99931335,51.01091003,51.03053665,51.05466461,51.08469772,51.1189003,51.14709091,51.15627289,51.1379776,51.08895493,51.01394272,50.92247391,50.82774353,50.73940277,50.65982819,50.58742523,50.52273178,50.46530914,50.41473389,50.37185669,50.33716445,50.3093031
Bahamas,BHS,44,Latin America & Caribbean,High income: nonOECD,country,51.93296814,51.71411514,51.50905991,51.3130455,51.12210846,50.92850876,50.73948288,50.58091354,50.48462677,50.46529388,50.53115463,50.6623764,50.81244659,50.92194748,50.95244598,50.89189148,50.76198196,50.59922409,50.45331573,50.35554886,50.31336594,50.31279373,50.33794403,50.36606598,50.38306808,50.38785553,50.38681793,50.38390732,50.38453293,50.39245224,50.40443802,50.41958237,50.44908905,50.5061264,50.59703445,50.72793961,50.88985443,51.05854416,51.20057678,51.29315948,51.32819748,51.31650162,51.27493286,51.22735596,51.18995667,51.16589355,51.15027237,51.1399765,51.13034821,51.11789703,51.10323715,51.08802022,51.07320589
Bahrain,BHR,48,Middle East & North Africa,High income: nonOECD,country,46.19292068,45.8802948,45.57591248,45.36750412,45.30339432,45.39789963,45.60480881,45.83808136,45.9870491,45.97845078,45.82487869,45.56204987,45.18344116,44.69082642,44.10992813,43.43809891,42.73206329,42.11603165,41.70796585,41.55297852,41.65746689,41.95802689,42.34412003,42.67317963,42.8522377,42.86132813,42.74842834,42.57180023,42.40598297,42.29771805,42.23626328,42.20116425,42.20895386,42.27798462,42.41001892,42.61208725,42.85152435,43.04648972,43.10023499,42.95783234,42.64049149,42.19190598,41.62783051,40.9770813,40.2857666,39.56807327,38.87226486,38.28292465,37.8646431,37.63149261,37.57739258,37.66253082,37.82479877
Bangladesh,BGD,50,South Asia,Low income,country,48.04827881,48.06700134,48.08630753,48.11057663,48.14174271,48.18172836,48.22709656,48.26888657,48.29649734,48.30419159,48.28900528,48.2555809,48.21498108,48.1822319,48.16707993,48.17391586,48.19694138,48.22397995,48.23943329,48.23428345,48.20631409,48.16233063,48.11333847,48.07344055,48.05160141,48.04934311,48.06233215,48.08610916,48.11454391,48.14339828,48.17271042,48.2035141,48.23419189,48.26298904,48.2890358,48.31208801,48.33336639,48.35531616,48.38108826,48.41308594,48.45031357,48.49263,48.54386139,48.60873795,48.68961334,48.78849411,48.90197372,49.02043533,49.13095093,49.2244606,49.29782867,49.35406017,49.3978676
Barbados,BRB,52,Latin America & Caribbean,High income: nonOECD,country,55.10170746,54.88744736,54.59489441,54.28611755,54.00562668,53.76754761,53.56076431,53.37535858,53.19294739,53.00273132,52.80158615,52.59998322,52.41777802,52.27876282,52.19752121,52.18183136,52.22104263,52.28965378,52.3517189,52.38158417,52.36848068,52.31956482,52.2491951,52.1791687,52.12420654,52.08886337,52.06471634,52.03749847,51.98631668,51.8983078,51.77015305,51.60923386,51.42483902,51.23018265,51.03680038,50.84506989,50.65644836,50.48234558,50.33769226,50.23167038,50.16996002,50.1484108,50.15359497,50.1669693,50.17436218,50.17186737,50.16305923,50.14983749,50.13655472,50.12660599,50.11958694,50.11351559,50.10855665
Belarus,BLR,112,Europe & Central Asia,Upper middle income,country,54.74715424,54.65134048,54.55974579,54.4737854,54.39437103,54.32207108,54.25632477,54.19551849,54.13739014,54.08023453,54.02352905,53.96751022,53.91220856,53.85788727,53.8048172,53.75259399,53.70108032,53.65109253,53.60377502,53.55982208,53.52045059,53.48514175,53.4508667,53.41352463,53.37069702,53.32049179,53.26502991,53.21059799,53.16563797,53.13565826,53.12374115,53.12726212,53.13914871,53.1491127,53.15011597,53.13852692,53.11767578,53.0957756,53.08486557,53.09332657,53.12467957,53.17524719,53.23744965,53.29966736,53.35312653,53.39468002,53.42650223,53.4514389,53.47454453,53.49957275,53.52722549,53.55600267,53.58502238
Belgium,BEL,56,Europe & Central Asia,High income: OECD,country,51.03489685,51.04327011,51.04830551,51.05148315,51.05397797,51.05599976,51.05761337,51.05962372,51.06293869,51.0681572,51.07569504,51.08534241,51.09621429,51.10701752,51.1167984,51.12512207,51.13216019,51.13825607,51.14398956,51.14970016,51.15572357,51.16165161,51.16619492,51.16760635,51.16479111,51.15724564,51.14577866,51.13212967,51.11875534,51.10751343,51.09871674,51.09202194,51.08774567,51.0860672,51.08694077,51.09070587,51.09690857,51.10371017,51.10862732,51.10985565,51.10678482,51.09984207,51.08959198,51.07700348,51.06289673,51.04739761,51.03049469,51.01270294,50.99455261,50.97638321,50.95845795,50.94080114,50.92326734
Belize,BLZ,84,Latin America & Caribbean,Upper middle income,country,50.58341599,50.54882813,50.51714325,50.48801804,50.46126556,50.43532181,50.41038513,50.38557434,50.36055756,50.33516312,50.31171799,50.28863907,50.25677872,50.20410156,50.12419128,50.0129509,49.8769989,49.73735809,49.62139511,49.5480423,49.52292633,49.53662872,49.57194138,49.60646439,49.62526321,49.62635803,49.61606979,49.59923172,49.58444214,49.57611847,49.57411957,49.57669449,49.58623123,49.60464096,49.63326645,49.67251205,49.71988678,49.76919556,49.81411362,49.84994888,49.8764267,49.8951416,49.90864944,49.92039108,49.93196487,49.94426346,49.95632553,49.96865845,49.9817276,49.99594879,50.01138306,50.02777263,50.04459174
Benin,BEN,204,Sub-Saharan Africa,Low income,country,52.36889648,52.3068161,52.24691391,52.18987274,52.13637161,52.08560181,52.03789902,51.9962883,51.9645195,51.94459915,51.93676376,51.93873596,51.94696426,51.95690155,51.96528625,51.97098923,51.97409058,51.97421646,51.971241,51.96499634,51.95387268,51.93720627,51.91669464,51.89453888,51.87143707,51.85055923,51.82964325,51.79860687,51.74536514,51.66442871,51.55290222,51.41994858,51.2851944,51.17126846,51.09030533,51.04568863,51.027771,51.01974487,51.00039291,50.95684814,50.88736343,50.79990768,50.70366287,50.61026382,50.52717209,50.45493698,50.39112473,50.33566666,50.28800964,50.24749374,50.21429443,50.18792717,50.16633935
Bermuda,BMU,60,North America,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,64,South Asia,Lower middle income,country,49.16764069,49.17106247,49.17312622,49.18218231,49.2010231,49.2346077,49.27526474,49.30134201,49.28409958,49.20958328,49.07674408,48.90209579,48.70834351,48.52227783,48.36148834,48.22737885,48.11589813,48.03077316,47.97441483,47.94752121,47.9508667,47.9804039,48.02610397,48.07455444,48.11654663,48.14901352,48.17435074,48.19603729,48.21961212,48.24933243,48.28034973,48.30987549,48.346035,48.39871216,48.47055054,48.57275009,48.69000244,48.76877594,48.74525833,48.58704758,48.28400803,47.87360764,47.42570877,47.02481461,46.72325516,46.53138351,46.42570496,46.38038254,46.35890961,46.33643723,46.30855179,46.28441863,46.26890219
Bolivia,BOL,68,Latin America & Caribbean,Lower middle income,country,50.49925995,50.52288818,50.54524994,50.56627655,50.58595657,50.60401535,50.62048721,50.6359787,50.6512146,50.66652298,50.68210602,50.69726181,50.71035385,50.71941757,50.72322083,50.72151947,50.71498871,50.70448685,50.69123077,50.67608643,50.65934753,50.64092636,50.62081528,50.59894562,50.57533264,50.55026627,50.52412415,50.49711609,50.46950912,50.44157791,50.41368484,50.38619614,50.35940552,50.33360291,50.30908966,50.28527832,50.26240921,50.24241257,50.22766113,50.21931458,50.2182579,50.22277832,50.22843552,50.22957993,50.22264099,50.20647049,50.18296051,50.15542984,50.12843323,50.1051178,50.08623886,50.07072502,50.05763176
Bosnia and Herzegovina,BIH,70,Europe & Central Asia,Upper middle income,country,50.72249985,50.6436615,50.57759857,50.54522324,50.55873489,50.62454224,50.73215485,50.85634613,50.96291351,51.02836227,51.04484177,51.02148056,50.97244644,50.91862106,50.87462997,50.84314346,50.81932449,50.80102539,50.78416824,50.7658844,50.7492218,50.73617172,50.72203827,50.7005806,50.66932678,50.62270737,50.56674957,50.52219772,50.51451111,50.5605545,50.6750679,50.86006165,51.09945679,51.34602356,51.54217911,51.64944077,51.67157745,51.63247681,51.57252121,51.51811218,51.47195816,51.42641068,51.38196945,51.33784866,51.29428482,51.25289154,51.21616745,51.18606949,51.16461945,51.15299988,51.15257263,51.16251895,51.17907757
Botswana,BWA,72,Sub-Saharan Africa,Upper middle income,country,52.22608185,52.27936935,52.30812454,52.31547928,52.30406189,52.27378464,52.22521973,52.16176224,52.08752823,52.00569534,51.91857529,51.82727432,51.73250198,51.63459396,51.53474808,51.43375778,51.33396912,51.23937988,51.15408325,51.07996368,51.01737976,50.96447754,50.91834641,50.87545395,50.83353424,50.79199982,50.7515831,50.71271133,50.67610168,50.64223862,50.6106987,50.5809288,50.55294418,50.52687454,50.50247955,50.47955322,50.45738602,50.43495178,50.41091537,50.38427734,50.3547554,50.32228088,50.28598785,50.24523544,50.19956589,50.14889526,50.0935936,50.0342598,49.97174454,49.90684891,49.8400116,49.77164643,49.7025447
Brazil,BRA,76,Latin America & Caribbean,Upper middle income,country,50.14551544,50.13573074,50.1254921,50.11581802,50.10739136,50.10005569,50.09358597,50.08844757,50.08517456,50.08404541,50.08543015,50.08901596,50.09362793,50.09776688,50.10060883,50.10176849,50.10204315,50.10314178,50.1072464,50.11570358,50.12877274,50.14566803,50.1653595,50.18648911,50.20811844,50.22997284,50.2522583,50.27511978,50.29883957,50.32353973,50.34925842,50.37569046,50.40216827,50.42785645,50.45218658,50.47488785,50.49619675,50.51667404,50.53711319,50.55806351,50.57962418,50.60157394,50.62369537,50.64567184,50.66729736,50.688591,50.70963669,50.73034286,50.75059128,50.770298,50.78938293,50.80788013,50.82592214
Brunei Darussalam,BRN,96,East Asia & Pacific,High income: nonOECD,country,48.40509415,48.4056015,48.40507889,48.4007988,48.39244461,48.37211609,48.34028625,48.31338882,48.3098526,48.33601761,48.4057579,48.50204849,48.56677628,48.53387833,48.37273407,48.0717392,47.67342758,47.25977325,46.92790222,46.73476791,46.6930809,46.76693344,46.90435028,47.03598785,47.11869049,47.14815521,47.14512253,47.12512207,47.10923004,47.11340332,47.12936783,47.15538788,47.21761322,47.34767151,47.56019592,47.86437607,48.23719788,48.62364197,48.95423889,49.18520355,49.30465698,49.3347435,49.30736542,49.26648331,49.24241638,49.2403183,49.25099564,49.27026367,49.29056931,49.30636215,49.31884003,49.33121158,49.34344063
Bulgaria,BGR,100,Europe & Central Asia,Upper middle income,country,50.04219437,50.03116608,50.01940155,50.00850677,49.99967194,49.99331284,49.98939896,49.98804092,49.98920822,49.99288559,49.9993782,50.00882721,50.02080536,50.03471375,50.05022049,50.06716537,50.08592606,50.10741806,50.13279724,50.16287613,50.1976738,50.23684311,50.28040695,50.32835007,50.38059235,50.43716049,50.49767303,50.56121826,50.62660217,50.69296646,50.75994873,50.82739639,50.89471436,50.96097565,51.02501678,51.08636093,51.14411926,51.19611359,51.23982239,51.27362061,51.29668427,51.30979156,51.31509781,51.31583023,51.31476593,51.31222534,51.30856323,51.30660248,51.30981445,51.32061386,51.34076691,51.36952205,51.40356223
Burkina Faso,BFA,854,Sub-Saharan Africa,Low income,country,49.23619461,49.37073517,49.50340271,49.63009644,49.74794388,49.85629654,49.95640945,50.04985428,50.13892365,50.2253952,50.30926514,50.39024734,50.46921158,50.54711533,50.62431717,50.70094299,50.77610397,50.84785843,50.91372299,50.97189713,51.02195358,51.06412888,51.09826279,51.12438202,51.14271545,51.15359497,51.1574707,51.15488815,51.14648438,51.13294983,51.11431122,51.09120941,51.06549835,51.03931427,51.01392746,50.98994827,50.96661377,50.94212723,50.91419601,50.88143158,50.84395218,50.80269623,50.75823975,50.71138,50.66283798,50.61283493,50.56182098,50.51093292,50.46144867,50.41420746,50.36949921,50.32715698,50.28694988
Burundi,BDI,108,Sub-Saharan Africa,Low income,country,51.69088745,51.65468597,51.61880875,51.58257675,51.54610062,51.50857162,51.47145844,51.43943405,51.41792679,51.409832,51.41571426,51.43292236,51.45703888,51.48187637,51.50260162,51.51695251,51.52505875,51.52719498,51.52439117,51.51698685,51.50796127,51.49607468,51.47356796,51.43103027,51.36473465,51.27093887,51.15809631,51.04743958,50.96379471,50.92061615,50.92301178,50.95984268,51.00872803,51.04063797,51.03693008,50.99264908,50.91700745,50.82355118,50.73227692,50.65803146,50.60360718,50.5650177,50.54163361,50.53107071,50.53082275,50.54123688,50.56087112,50.58377075,50.60306168,50.61458969,50.61728287,50.61309789,50.60488862
Cabo Verde,CPV,132,Sub-Saharan Africa,Lower middle income,country,52.16255951,52.0767746,51.98585892,51.9025116,51.8337822,51.78794479,51.76179504,51.73894501,51.69856644,51.63092804,51.52188492,51.38838577,51.28291702,51.26871109,51.38134384,51.64503479,52.03918457,52.49620819,52.90253067,53.16438675,53.24177551,53.16583633,52.99332047,52.8035965,52.64800644,52.53444672,52.44495392,52.37157059,52.2999115,52.22127533,52.13601303,52.05124664,51.97230148,51.90498734,51.85129547,51.81315613,51.78560257,51.75685501,51.71154785,51.64049911,51.5412178,51.41960907,51.28442764,51.14712143,51.01524734,50.88932419,50.76667404,50.64881897,50.53714752,50.43365479,50.34043121,50.25819123,50.18490791
Cambodia,KHM,116,East Asia & Pacific,Low income,country,50.10931396,50.12415695,50.1395607,50.15410614,50.16729355,50.18381882,50.20613861,50.22990799,50.24906158,50.2623291,50.25628662,50.23939133,50.25437546,50.35587311,50.57923889,50.95965195,51.49046326,52.10281754,52.65769196,53.0217514,53.12623978,53.00967407,52.75872803,52.48902893,52.27107239,52.11334991,51.9927597,51.9000473,51.81966019,51.74213028,51.6697197,51.60866165,51.55866623,51.51908875,51.48893356,51.4667778,51.45134735,51.44181442,51.43742371,51.43715286,51.44121552,51.44815445,51.45365906,51.45243454,51.44120789,51.41865921,51.38665009,51.34910202,51.31149292,51.27774048,51.248806,51.2237022,51.20189276
Cameroon,CMR,120,Sub-Saharan Africa,Lower middle income,country,50.82525253,50.8073616,50.78885269,50.76961517,50.74966431,50.72888565,50.70755005,50.68647385,50.66659546,50.64848328,50.63229752,50.61764526,50.60379028,50.58982468,50.57512665,50.55965805,50.54360962,50.52703476,50.51001358,50.49266434,50.47498322,50.4570694,50.43923187,50.4218483,50.40515137,50.38915253,50.37376022,50.35894012,50.34462357,50.33071518,50.317173,50.30389023,50.29068756,50.27734756,50.26369476,50.24979782,50.23563766,50.22094727,50.20542145,50.18893814,50.17152405,50.15348053,50.13529205,50.1175499,50.10070801,50.08480835,50.06986237,50.05612564,50.04388809,50.03327942,50.02437973,50.01701181,50.01071045
Canada,CAN,124,North America,High income: OECD,country,49.47540665,49.5415535,49.61197281,49.67737198,49.73147964,49.77305222,49.80456924,49.82825851,49.84755325,49.86521149,49.88074875,49.89427567,49.90953445,49.93110275,49.96175003,50.00281906,50.05246735,50.10636902,50.15858841,50.20491791,50.24442673,50.27828217,50.30702972,50.33178329,50.35344315,50.3714447,50.38569641,50.39810181,50.41109467,50.42618561,50.44426346,50.46436691,50.48398209,50.49969864,50.50925446,50.51203918,50.50917053,50.50225067,50.49358368,50.48486328,50.47649002,50.46812439,50.45980072,50.45136642,50.44275284,50.43418503,50.42587662,50.41768646,50.40937424,50.40081024,50.39198685,50.38310777,50.37454411
Cayman Islands,CYM,136,Latin America & Caribbean,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,140,Sub-Saharan Africa,Low income,country,50.83018875,50.83583069,50.84063339,50.84468842,50.84799576,50.85050964,50.8523407,50.85400391,50.85606766,50.8588562,50.86266327,50.86724854,50.87174225,50.87506104,50.8765564,50.87615585,50.87442017,50.87214661,50.87025833,50.86946869,50.86961746,50.87067413,50.87345123,50.87889481,50.88748169,50.89933395,50.91370392,50.92908478,50.94339752,50.95515442,50.96399307,50.97015762,50.97365189,50.97463608,50.97330475,50.9696579,50.96379852,50.95608139,50.94700241,50.93688965,50.92589188,50.9140892,50.90175629,50.88916397,50.87660599,50.86423874,50.85216522,50.84052658,50.82933426,50.81866837,50.80860519,50.79920066,50.79045069
Chad,TCD,148,Sub-Saharan Africa,Low income,country,51.13981247,51.14341354,51.1417923,51.13452148,51.12148666,51.10279465,51.07921982,51.05215073,51.02330017,50.99394608,50.96490097,50.93602753,50.90660095,50.87540054,50.84167862,50.80509186,50.76631927,50.72673798,50.68819427,50.6520195,50.61880493,50.58807373,50.55887985,50.52991486,50.50041962,50.47027969,50.44019318,50.41110611,50.38412857,50.35983658,50.33808517,50.3182869,50.29989624,50.2822876,50.26496506,50.24798584,50.23123169,50.21392059,50.19522476,50.17475128,50.15259933,50.12931824,50.10564804,50.0823288,50.05983734,50.03810883,50.01708221,49.99714279,49.97875977,49.96220779,49.94759369,49.93470127,49.92308181
Chile,CHL,152,Latin America & Caribbean,High income: OECD,country,50.56003571,50.568573,50.57709122,50.58597565,50.59544754,50.60552597,50.61594391,50.626297,50.63605499,50.64480591,50.65251541,50.65920258,50.664711,50.66884995,50.67154312,50.6726532,50.67227554,50.67079544,50.66875458,50.66648865,50.66418076,50.66164398,50.65843201,50.65393448,50.64778137,50.64004135,50.63103485,50.62096786,50.61011505,50.59877777,50.58696747,50.57492828,50.5634613,50.55347824,50.54554749,50.53991699,50.53630066,50.53408432,50.53241348,50.53071594,50.52877426,50.52679825,50.52514267,50.52432251,50.52463913,50.52618408,50.52867508,50.53166199,50.53453827,50.53688049,50.53859711,50.53979962,50.54055947
China,CHN,156,East Asia & Pacific,Upper middle income,country,48.20273972,48.29463577,48.38975906,48.46408081,48.50233841,48.49958038,48.46493912,48.4143486,48.36830521,48.33981323,48.33132553,48.33726883,48.352108,48.36801147,48.37979507,48.38676834,48.39107132,48.3938446,48.39689255,48.40135574,48.40733337,48.41395187,48.42018127,48.4246788,48.42655945,48.42572021,48.42261124,48.41761398,48.41127396,48.40403366,48.39571381,48.38641357,48.37711716,48.36905289,48.36297989,48.35933685,48.35758972,48.35630798,48.35353851,48.34793091,48.339077,48.32751846,48.31398773,48.29961777,48.2852478,48.27116776,48.2572403,48.24337387,48.22933197,48.21503448,48.20051193,48.18610202,48.17238495
Colombia,COL,170,Latin America & Caribbean,Upper middle income,country,50.20801163,50.20645905,50.20466614,50.2026329,50.20040512,50.19792938,50.19535828,50.1931572,50.19188309,50.1918602,50.19340897,50.19633484,50.19989395,50.203125,50.20550919,50.20677948,50.20753479,50.20911026,50.21319199,50.22080994,50.23248672,50.24762726,50.2648735,50.28242111,50.29921341,50.31445313,50.32889938,50.34479141,50.36505127,50.39130402,50.42412567,50.4618721,50.50131226,50.53827286,50.56997299,50.59569931,50.61650848,50.6336441,50.64896011,50.66378403,50.67829514,50.692173,50.70558929,50.71866226,50.73148346,50.7441864,50.75686646,50.76952362,50.78212738,50.79465866,50.80714417,50.8196168,50.83206293
Comoros,COM,174,Sub-Saharan Africa,Low income,country,50.20593262,50.19561386,50.18428421,50.17144394,50.15763092,50.14243317,50.12577438,50.1105957,50.09801865,50.08965683,50.08590698,50.08582687,50.08763123,50.08922195,50.08874512,50.08632278,50.08242798,50.07704163,50.0707016,50.06345749,50.05524826,50.04610825,50.03636932,50.02702713,50.01817703,50.01005554,50.00222015,49.99452591,49.98646545,49.97771454,49.96820068,49.95799637,49.947052,49.93500519,49.921978,49.90807343,49.89308167,49.87732315,49.86097717,49.84403229,49.82674408,49.80918121,49.7913208,49.77288437,49.75405121,49.73480606,49.71536255,49.69651413,49.6786499,49.66233826,49.64767838,49.6344963,49.62274651
